id,name,address,latitude,longitude,image
11,Burger King,"130 West 125th Street, New York, NY 10027",40.8081125,-73.9492671,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.8081125,-73.9492671&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
12,High Line ,"The High Line, New York, NY 10011",40.6680367,-73.9821783,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7430342,-74.0146332&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
13,Washington Square Park,"Washington Square South and Thompson Street, New York, NY 10012",40.7302955,-74.0002719,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7302955,-74.0002719&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
14,Starbucks,"943 Second Avenue New York NY, 10022",40.7550788,-73.9709148,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7550788,-73.9709148&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
15,Starbucks,"135 East 57th Street New York NY, 10022",40.7614094,-73.9714122,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7614094,-73.9714122&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
16,Conservatory Garden,105 Street at 5th Avenue,40.7936129,-73.9537859,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7936129,-73.9537859&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
17,Grand Central Station,Park Avenue and East 42nd Street 10017,40.7521824,-73.9799783,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7521824,-73.9799783&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
18,Rockefeller Center,"45 Rockefeller Center Plaza, New York, NY 10111",40.7587402,-73.9808623,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7587402,-73.9808623&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
19,Hotel Stanford,"43 W 32nd St, New York, NY 10001",40.7482339,-73.9896427,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7482339,-73.9896427&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
20,Four Seasons Hotel,"57 E 57th St, New York, NY 10022",40.7623268,-73.9734703,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7623268,-73.9734703&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
21,Waldorf Astoria,"301 Park Ave, New York, NY 10022",40.756498,-73.9754935,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.756498,-73.9754935&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
22,Tavern on the Green,"Central Park West & 67th Street, New York, NY 10023",40.7721869,-73.9799102,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7721869,-73.9799102&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
23,Time Warner Center,"10 Columbus Cir, New York, NY 10019",40.7685068,-73.9853236,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7685068,-73.9853236&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
24,Crate and Barrel,"611 Broadway, New York, NY 10012",40.7258311,-73.9990734,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7258311,-73.9990734&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
25,Bloomingdales,"1000 Third Avenue 59th Street and Lexington Avenue, New York, NY 10022",40.7620457,-73.9693596,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7620457,-73.9693596&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
26,W New York,"541 Lexington Ave, New York, NY 10022",40.75602,-73.9746336,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.75602,-73.9746336&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
27,Port Authority,"625 8th Ave, New York, NY 10018",40.7571517,-73.993005,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.7571517,-73.993005&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
28,The Picnic House,"95 Prospect Park West, Brooklyn, NY 11215",40.6602077,-73.9711498,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=40.6633735,-74.0115571&heading=151.78&pitch=-0.76&key=AIzaSyChq9ZU8kpb2LNFOtTeo1AdhFWstOysTLU"
